Filename,Segment,Staging,PlotProgression,CognitiveTension,Staging_z,PlotProgression_z,CognitiveTension_z,Relative_Segment,Ranking,genre,Literary_Quality,General_Quality,Gender
Adler-Olsen_VrouwInKooi.txt,4,21.66,37.46,2.98,-0.4084727328994531,0.2841364777000839,0.4494696889080016,0.75,272,Suspense,3.76,5.85,male
Adler-Olsen_VrouwInKooi.txt,5,22.59,35.16,2.61,1.075432117086819,-1.3415199867531316,-1.0903801712397807,1.0,272,Suspense,3.76,5.85,male
Adler-Olsen_Washingtondecreet.txt,1,23.67,33.61,2.56,1.4527637668059896,-1.6240992150263378,-1.1504474832710556,0.0,161,Suspense,4.21,5.76,male
Adler-Olsen_Washingtondecreet.txt,2,22.87,35.62,2.58,0.3625095328052449,-0.1043415696804668,-0.7669649888473704,0.25,161,Suspense,4.21,5.76,male
Adler-Olsen_Washingtondecreet.txt,3,21.6,36.68,2.7,-1.3682690636709354,0.6971226611984527,1.5339299776947408,0.5,161,Suspense,4.21,5.76,male
Adler-Olsen_Washingtondecreet.txt,4,21.98,37.52,2.6,-0.8503983025205833,1.3322452592534468,-0.3834824944236852,0.75,161,Suspense,4.21,5.76,male
Adler-Olsen_Washingtondecreet.txt,5,22.9,35.36,2.66,0.4033940665802695,-0.3009271357451055,0.7669649888473704,1.0,161,Suspense,4.21,5.76,male
Allende_EilandOnderZee.txt,1,25.19,32.21,2.05,0.8121717008224764,-0.8712989917236205,-0.5576627146334465,0.0,58,Fiction,5.64,6.09,female
Allende_EilandOnderZee.txt,2,24.67,34.08,2.08,0.2490659882522292,0.6716263061202925,-0.4082887732137722,0.25,58,Fiction,5.64,6.09,female
Allende_EilandOnderZee.txt,3,25.4,31.66,2.1,1.0395797770527655,-1.325100549913008,-0.3087061456006568,0.5,58,Fiction,5.64,6.09,female
Allende_EilandOnderZee.txt,4,24.12,33.39,2.02,-0.3465265923509181,0.1023116240281545,-0.7070366560531186,0.75,58,Fiction,5.64,6.09,female
Allende_EilandOnderZee.txt,5,22.82,34.99,2.56,-1.754290873776538,1.42246161148819,1.9816942895009964,1.0,58,Fiction,5.64,6.09,female
Allende_NegendeSchriftVan.txt,1,24.06,34.43,2.28,0.7690296605970225,-1.2487025760773478,-0.7908902847360412,0.0,68,Fiction,5.5,6.1,female
Allende_NegendeSchriftVan.txt,2,23.79,35.37,2.24,0.1436139727620969,-0.1286830899010977,-1.1587462311248924,0.25,68,Fiction,5.5,6.1,female
Allende_NegendeSchriftVan.txt,3,23.4,36.15,2.32,-0.7597642429994649,0.8006947816068579,-0.4230343383471857,0.5,68,Fiction,5.5,6.1,female
Allende_NegendeSchriftVan.txt,4,23.1,36.68,2.51,-1.4546705628160432,1.4321951301955975,1.3242814069998754,0.75,68,Fiction,5.5,6.1,female
Allende_NegendeSchriftVan.txt,5,24.29,34.76,2.48,1.3017911724564053,-0.8555042458239844,1.0483894472082358,1.0,68,Fiction,5.5,6.1,female
Amirrezvani_DochterVanIsfahan.txt,1,22.89,34.66,2.03,1.281705007430842,-1.4489115615847878,-1.2011298257823826,0.0,109,Fiction,4.89,5.95,female
Amirrezvani_DochterVanIsfahan.txt,2,21.82,36.73,2.49,0.1464199429018692,-0.3994899616965742,0.493715940659015,0.25,109,Fiction,4.89,5.95,female
Amirrezvani_DochterVanIsfahan.txt,3,20.96,39.14,2.49,-0.7660521650373043,0.8223004033906712,0.493715940659015,0.5,109,Fiction,4.89,5.95,female
Amirrezvani_DochterVanIsfahan.txt,4,20.31,40.26,2.72,-1.4557113163866824,1.3901033946345345,1.341138823879713,0.75,109,Fiction,4.89,5.95,female
Amirrezvani_DochterVanIsfahan.txt,5,22.43,36.8,2.05,0.7936385310912829,-0.3640022747438326,-1.1274408794153654,1.0,109,Fiction,4.89,5.95,female
Ammaniti_IkEnJij.txt,1,22.59,36.61,1.84,1.0239743378350066,-1.1051367630971591,-0.2285310328383356,0.0,61,Fiction,5.61,5.93,male
Ammaniti_IkEnJij.txt,2,22.27,37.25,2.16,0.755390904960251,-0.8180882532017928,0.6420633779743709,0.25,61,Fiction,5.61,5.93,male
Ammaniti_IkEnJij.txt,3,19.19,42.74,2.42,-1.829724636459267,1.6442497457443963,1.349421336759694,0.5,61,Fiction,5.61,5.93,male
Ammaniti_IkEnJij.txt,4,21.25,40.34,1.32,-0.100718787328031,0.5678178336367736,-1.6432469504089833,0.75,61,Fiction,5.61,5.93,male
Ammaniti_IkEnJij.txt,5,21.55,38.43,1.88,0.1510781809920525,-0.2888425630822115,-0.1197067314867478,1.0,61,Fiction,5.61,5.93,male
Ammaniti_LaatFeestBeginnen.txt,1,23.4,33.36,2.23,-0.575448932054243,0.4581375177393802,0.921918433993802,0.0,84,Fiction,5.33,5.64,male
Ammaniti_LaatFeestBeginnen.txt,2,23.71,32.74,1.98,-0.2678813994045582,0.0086988136279683,-0.5185791191215124,0.25,84,Fiction,5.33,5.64,male
Ammaniti_LaatFeestBeginnen.txt,3,22.62,34.7,2.31,-1.349328530334087,1.4295050395285671,1.3828776509907033,0.5,84,Fiction,5.33,5.64,male
Ammaniti_LaatFeestBeginnen.txt,4,24.65,32.37,1.99,0.6647427318557672,-0.2595146065675561,-0.4609592169968998,0.75,84,Fiction,5.33,5.64,male
Ammaniti_LaatFeestBeginnen.txt,5,25.52,30.47,1.84,1.527916129937135,-1.6368267643283392,-1.325257748866088,1.0,84,Fiction,5.33,5.64,male
Ammaniti_LaatsteOudejaarVan.txt,1,23.41,32.48,1.68,1.399112280808806,-1.3002164021770866,-1.027852708514864,0.0,70,Fiction,5.49,5.9,male
Ammaniti_LaatsteOudejaarVan.txt,2,21.46,34.7,2.13,-0.3565305425999284,0.3379677140732696,0.6007871465262933,0.25,70,Fiction,5.49,5.9,male
Ammaniti_LaatsteOudejaarVan.txt,3,20.89,35.13,1.86,-0.8697184448270974,0.6552736465001393,-0.3763967664984003,0.5,70,Fiction,5.49,5.9,male
Ammaniti_LaatsteOudejaarVan.txt,4,20.61,36.03,2.42,-1.121810747675532,1.3194023422773078,1.6503550531083726,0.75,70,Fiction,5.49,5.9,male
Ammaniti_LaatsteOudejaarVan.txt,5,22.91,32.87,1.73,0.9489474542937456,-1.012427300673646,-0.8468927246214017,1.0,70,Fiction,5.49,5.9,male
Ammaniti_ZoGodWil.txt,1,23.23,34.14,1.7,0.5844464748099905,-1.187935676303096,-1.7238930373596446,0.0,63,Fiction,5.56,5.98,male
Ammaniti_ZoGodWil.txt,2,23.04,34.75,2.32,0.1850046395081938,-0.5830602484692999,0.4935627368374082,0.25,63,Fiction,5.56,5.98,male
Ammaniti_ZoGodWil.txt,3,22.07,36.79,2.25,-1.8542510459799095,1.4398018380568385,0.2432048268474189,0.5,63,Fiction,5.56,5.98,male
Ammaniti_ZoGodWil.txt,4,23.47,34.75,2.1,1.0890045825596215,-0.5830602484692999,-0.2932764088454161,0.75,63,Fiction,5.56,5.98,male
Ammaniti_ZoGodWil.txt,5,22.95,36.26,2.54,-0.0042046508979187,0.9142543351848502,1.2804018825202343,1.0,63,Fiction,5.56,5.98,male
Appel_VanTweeKanten.txt,1,21.69,36.9,2.78,1.0173984636256388,-1.1984964245004543,-1.0707807131792224,0.0,184,Suspense,4.12,5.63,male
Appel_VanTweeKanten.txt,2,21.64,37.69,2.74,0.9440988624998714,-0.5706368917714383,-1.325728502031416,0.25,184,Suspense,4.12,5.63,male
Appel_VanTweeKanten.txt,3,19.89,40.66,3.02,-1.6213871769019457,1.7897970477287883,0.4589060199339564,0.5,184,Suspense,4.12,5.63,male
Appel_VanTweeKanten.txt,4,20.58,38.56,3.09,-0.6098526813663754,0.1208033531326723,0.9050646504252988,0.75,184,Suspense,4.12,5.63,male
Appel_VanTweeKanten.txt,5,21.18,38.23,3.11,0.2697425321428212,-0.1414670845895794,1.032538544851397,1.0,184,Suspense,4.12,5.63,male
Appel_Weerzin.txt,1,21.17,37.39,2.9,0.9193607158194608,-1.2725052506211914,-0.5590169943749479,0.0,144,Suspense,4.33,5.52,male
